stock_code,buy_date,sell_date,buy_price,sell_price
3231,2023/8/4,2023/8/10,115.5,116
3231,2023/8/4,2023/8/10,117,116
3231,2023/8/15,2023/8/18,116.5,117.5
3231,2023/8/15,2023/8/18,121,117.5
2363,2023/8/16,2023/8/18,25,26.45
2363,2023/8/16,2023/8/18,25.3,26.45
3715,2023/8/17,2023/8/18,38.55,40.9
3715,2023/8/17,2023/8/31,39.6,58
3715,2023/8/21,2023/8/31,41.7,58.2
3715,2023/8/23,2023/9/6,48.55,58.6
3715,2023/8/24,2023/9/6,47.9,58.6
3715,2023/9/6,2023/9/8,61.2,67.2
3715,2023/9/7,2023/9/13,61.8,60.6
3715,2023/9/7,2023/9/13,63.7,63.7
3715,2023/9/18,2023/10/2,69.6,87
3715,2023/9/19,2023/10/11,69.9,95
3715,2023/10/11,2023/10/17,94.7,103.5
2449,2023/8/23,2023/8/24,73.5,76.2
2449,2023/8/23,2023/8/24,74.3,76.2
2449,2023/8/24,2023/8/25,78,79.6
2449,2023/8/24,2023/8/25,79.2,79.6
3051,2023/8/23,2023/8/24,33.8,29.75
3051,2023/8/23,2023/8/28,33.8,24.95
2436,2023/8/30,2023/9/1,70.5,72
4967,2023/8/31,2023/9/1,67,68.9
4967,2023/8/31,2023/9/1,67.9,68.9
4967,2023/8/31,2023/9/1,68.8,68.9
2402,2023/8/31,2023/9/5,45,45.7
