stock_code,buy_date,sell_date,buy_price,sell_price
6139,2023/10/2,2023/10/11,112,105
6139,2023/10/2,2023/10/11,114.5,105
2402,2023/10/3,2023/10/3,41.75,39.8
3325,2023/10/5,2023/10/5,41.4,41.8
6122,2023/10/6,2023/10/12,51,46.75
6122,2023/10/11,2023/10/12,47.85,46.9
1319,2023/10/12,2023/10/16,84.9,83.6
2363,2023/10/11,2023/10/24,39.55,50.1
2363,2023/10/12,2023/10/24,43.35,50.1
2465,2023/10/12,2023/10/19,50.2,45.3
3483,2023/10/16,2023/10/30,154.5,140.5
3483,2023/10/17,2023/10/30,147.5,140.5
3715,2023/10/24,2023/10/26,87.3,83.7
6139,2023/10/24,2023/10/30,121,132
6139,2023/10/24,2023/10/30,126,132
2363,2023/10/25,2023/11/03,54,53.3
3036,2023/10/30,2023/10/31,119,118
8054,2023/10/30,2023/10/30,56.2,57
3715,2023/10/31,2023/10/31,84.7,77.9
3715,2023/10/31,2023/11/01,80.9,80.2
